Team1,Continent1,Rank1,num_champs_1,IsHost1,Team2,Continent2,Rank2,num_champs_2,IsHost2,result,result_int,world_cup,MATCH,Group
England',Europe',5,1,0,Tunisia',Africa',21,0,0,2-0',0,1998,1,G
Brazil',SouthAmerica',1,4,0,'Scotland',Europe',41,0,0,2-1',0,1998,1,A
Germany',Europe',2,3,0,USA',Concacaf',11,0,0,2-0',0,1998,1,F
Mexico',Concacaf',4,0,0,South_Korea',Asia',20,0,0,3-1',0,1998,1,E
USA',Concacaf',11,0,0,Iran',Asia',42,0,0,1-2',2,1998,2,F
Spain',Europe',15,0,0,Nigeria',Africa',74,0,0,2-3',2,1998,1,D
Italy',Europe',14,3,0,Chile',South_America,9,0,0,2-2',1,1998,1,B
France',Europe',18,0,1,South_Africa',Africa',24,0,0,3-0',0,1998,1,C
Netherlands',Europe',25,0,0,Belgium',Europe',36,0,0,0-0',1,1998,1,E
Denmerk',Europe',27,0,0,Saudi_Arabia',Asia',34,0,0,1-0',0,1998,1,C
Japan',Asia',12,0,0,Croatia',Europe',9,0,0,0-1',2,1998,2,H
South_Korea',Asia',20,0,0,Netherlands',Europe',25,0,0,0-5',2,1998,2,E
Netherlands',Europe',25,0,0,Mexico',Concacaf',4,0,0,2-2',1,1998,3,E
USA',Concacaf',11,0,0,Yugoslavia_Serbia',Europe',8,0,0,0-1',2,1998,3,F
Iran',Asia',42,0,0,Yugoslavia_Serbia',Europe',8,0,0,0-1',2,1998,1,F
Saudi_Arabia',Asia',34,0,0,France',Europe',18,0,1,0-4',2,1998,2,C
France',Europe',18,0,1,Denmerk',Europe',27,0,0,2-1',0,1998,3,C
Paraguay',South_America',29,0,0,Nigeria',Africa',74,0,0,3-1',0,1998,3,D
Spain',Europe',15,0,0,Bulgaria',Europe',35,0,0,6-1',0,1998,3,D
Moroco',Africa',13,0,0,Norway',Europe',7,0,0,2-2',1,1998,1,A
Cameroon',Africa',49,0,0,Austria',Europe',31,0,0,1-1',1,1998,1,B
Paraguay',South_America',29,0,0,Bulgaria',Europe',35,0,0,0-0',1,1998,1,D
Argentina',South_America',6,2,0,Japan',Asia',12,0,0,1-0',0,1998,1,H
Croatia',Europe',9,0,0,Jamaica',Concacaf',30,0,0,3-1',0,1998,1,H
Romania',Europe',22,0,0,Colombia',South_America',10,0,0,1-0',0,1998,1,G
'Scotland',Europe',41,0,0,Norway',Europe',7,0,0,1-1',1,1998,2,A
Moroco',Africa',13,0,0,Brazil',SouthAmerica',1,4,0,0-3',2,1998,2,A
Chile',South_America,9,0,0,Austria',Europe',31,0,0,1-1',1,1998,2,B
Cameroon',Africa',49,0,0,Italy',Europe',14,3,0,0-3',2,1998,2,B
Denmerk',Europe',27,0,0,South_Africa',Africa',24,0,0,1-1',1,1998,2,C
Bulgaria',Europe',35,0,0,Nigeria',Africa',74,0,0,0-1',2,1998,2,D
Paraguay',South_America',29,0,0,Spain',Europe',15,0,0,0-0',1,1998,2,D
Mexico',Concacaf',4,0,0,Belgium',Europe',36,0,0,2-2',1,1998,2,E
Germany',Europe',2,3,0,Yugoslavia_Serbia',Europe',8,0,0,2-2',1,1998,2,F
Argentina',South_America',6,2,0,Jamaica',Concacaf',30,0,0,5-0',0,1998,2,H
Iran',Asia',42,0,0,Germany',Europe',2,3,0,2-0',2,1998,3,F
Tunisia',Africa',21,0,0,Romania',Europe',22,0,0,1-1',1,1998,3,G
Colombia',South_America',10,0,0,England',Europe',5,1,0,0-2',2,1998,3,G
Colombia',South_America',10,0,0,Tunisia',Africa',21,0,0,1-0',0,1998,2,G
England',Europe',5,1,0,Romania',Europe',22,0,0,1-2',2,1998,2,G
Argentina',South_America',6,2,0,Croatia',Europe',9,0,0,1-0',0,1998,3,H
Japan',Asia',12,0,0,Jamaica',Concacaf',30,0,0,1-2',2,1998,3,H
Norway',Europe',7,0,0,Brazil',SouthAmerica',1,4,0,2-1',0,1998,3,A
Austria',Europe',31,0,0,Italy',Europe',14,3,0,1-2',2,1998,3,B
Chile',South_America,9,0,0,Cameroon',Africa',49,0,0,1-1',1,1998,3,B
'Scotland',Europe',41,0,0,Moroco',Africa',13,0,0,0-3',2,1998,3,A
Saudi_Arabia',Asia',34,0,0,South_Africa',Africa',24,0,0,2-2',1,1998,3,C
South_Korea',Asia',20,0,0,Belgium',Europe',36,0,0,1-1',1,1998,3,E
France',Europe',1,1,0,Senegal',Africa',42,0,0,0-1',2,2002,1,A
Uruguay',South_America',24,2,0,Denmerk',Europe',20,0,0,1-2',2,2002,1,A
Denmerk',Europe',20,0,0,Senegal',Africa',42,0,0,1-1',1,2002,2,A
Senegal',Africa',42,0,0,Uruguay',South_America',24,2,0,3-3',1,2002,3,A
France',Europe',1,1,0,Uruguay',South_America',24,2,0,0-0',1,2002,2,A
France',Europe',1,1,0,Denmerk',Europe',20,0,0,0-2',2,2002,3,A
Spain',Europe',8,0,0,'Slovenia',Europe',25,0,0,3-1',0,2002,1,B
Spain',Europe',8,0,0,Paraguay',South_America',18,0,0,3-1',0,2002,2,B
Paraguay',South_America',18,0,0,South_Africa',Africa',37,0,0,2-2',1,2002,1,B
South_Africa',Africa',37,0,0,Slovenia',Europe',25,0,0,1-0',0,2002,2,B
Slovenia',Europe',25,0,0,Paraguay',South_America',18,0,0,1-3',2,2002,3,B
Spain',Europe',8,0,0,South_Africa',Africa',37,0,0,3-2',0,2002,3,B
Brazil',South_America',2,4,0,Turkey',Europe',22,0,0,2-1',0,2002,1,C
Brazil',South_America',2,4,0,China',Asia',50,0,0,4-0',0,2002,2,C
Brazil',South_America',2,4,0,Costa_Rica',Concacaf',29,0,0,5-2',0,2002,3,C
Turkey',Europe',22,0,0,China',Asia',50,0,0,3-0',0,2002,3,C
Turkey',Europe',22,0,0,Costa_Rica',Concacaf',29,0,0,1-1',1,2002,2,C
China',Asia',50,0,0,Costa_Rica',Concacaf',29,0,0,0-2',2,2002,1,C
South_Korea',Asia',40,0,1,Portugal',Europe',5,0,0,1-0',0,2002,3,D
South_Korea',Asia',40,0,1,Poland',Europe',38,0,0,2-0',0,2002,1,D
South_Korea',Asia',40,0,1,USA',Concacaf',13,0,0,1-1',1,2002,2,D
Portugal',Europe',5,0,0,USA',Concacaf',13,0,0,2-3',2,2002,1,D
Portugal',Europe',5,0,0,Poland',Europe',38,0,0,4-0',0,2002,2,D
USA',Concacaf',13,0,0,Poland',Europe',38,0,0,1-3',2,2002,3,D
Germany',Europe',11,3,0,Ireland',Europe',15,0,0,1-1',1,2002,2,E
Germany',Europe',11,3,0,Saudi_Arabia',Asia',34,0,0,8-0',0,2002,1,E
Germany',Europe',11,3,0,Cameroon',Africa',17,0,0,0-2',0,2002,3,E
Ireland',Europe',15,0,0,Saudi_Arabia',Asia',34,0,0,3-0',0,2002,0,E
Ireland',Europe',15,0,0,Cameroon',Africa',17,0,0,1-1',1,2002,1,E
Cameroon',Africa',17,0,0,Saudi_Arabia',Asia',34,0,0,1-0',0,2002,2,E
Argentina',South_America',3,2,0,England',Europe',12,1,0,0-1',2,2002,2,F
Argentina',South_America',3,2,0,Nigeria',Africa',27,0,0,1-0',1,2002,1,F
Argentina',South_America',3,2,0,Sweden',Europe',19,0,0,1-1',1,2002,3,F
